Numbering of the positive roots in E7 used by GAP. This list was produced by running 
RequirePackage("sla");;
L:= SimpleLieAlgebra("E",7,Rationals);;
for i in [1..63] do Print(i, " ", PositiveRootsNF(RootSystem(L))[i],"\n"); od;
and then formatting the plain text output slightly for convenience.

1 1000000
2 0100000
3 0010000
4 0001000
5 0000100
6 0000010
7 0000001
8 1010000
9 0101000
10 0011000
11 0001100
12 0000110
13 0000011
14 1011000
15 0111000
16 0101100
17 0011100
18 0001110
19 0000111
20 1111000
21 1011100
22 0111100
23 0101110
24 0011110
25 0001111
26 1111100
27 1011110
28 0112100
29 0111110
30 0101111
31 0011111
32 1112100
33 1111110
34 1011111
35 0112110
36 0111111
37 1122100
38 1112110
39 1111111
40 0112210
41 0112111
42 1122110
43 1112210
44 1112111
45 0112211
46 1122210
47 1122111
48 1112211
49 0112221
50 1123210
51 1122211
52 1112221
53 1223210
54 1123211
55 1122221
56 1223211
57 1123221
58 1223221
59 1123321
60 1223321
61 1224321
62 1234321
63 2234321
